State,Number,Letter,Value,Quantity,Box
IL,755,E,$0.35 ,1,5
IL,755,F,$0.35 ,1,5
IL,755,G,$0.35 ,1,5
IL,755,J,$0.50 ,1,5
IL,760,F,$0.35 ,1,5
IL,760,H,$0.35 ,1,5
IL,760,I,$0.35 ,1,5
IL,760,J,$0.35 ,1,5
IL,760,K,$0.35 ,1,5
IL,760,L,$1.00 ,1,5
IL,760,M,$0.50 ,1,5
IL,760,N,$0.35 ,1,5
IL,760,O,$0.35 ,1,5
IL,760,P,$0.35 ,1,5
IL,760,Q,$0.50 ,1,5
IL,785,A,$1.00 ,1,5
IL,795,IA,$0.35 ,1,5
IL,795,J,$0.35 ,1,5
IL,795,L,$0.35 ,1,5
IL,795,M,$0.35 ,1,5
IL,795,O,$1.00 ,1,5
IL,795,S,$0.35 ,1,5
IL,795,W,$0.35 ,1,5
IL,795,X,$1.00 ,1,5
IL,855,A,$12.00 ,1,5
IL,890,A,$0.35 ,1,5
IL,890,B,$0.35 ,1,5
IL,890,C,$0.35 ,1,5
IL,890,D,$0.35 ,1,5
IL,890,E,$0.35 ,1,5
IL,950,C,$2.00 ,1,5
IL,955,A,$0.50 ,1,5
IN,20,E,$0.35 ,1,5
IN,180,C,$0.35 ,1,5
IN,180,K,$0.50 ,1,5
IN,180,L,$0.50 ,1,5
IN,260,A,$0.35 ,1,5
IN,260,B,$0.35 ,1,5
IN,260,C,$0.35 ,1,5
IN,260,D,$0.35 ,1,5
IN,260,F,$1.00 ,1,5
IN,270,A,$0.35 ,1,5
IN,280,C,$0.35 ,1,5
IN,280,D,$0.35 ,1,5
IN,280,E,$0.35 ,1,6
IN,280,F,$0.35 ,1,6
IN,280,G,$0.35 ,1,6
IN,290,A,$0.35 ,1,6
IN,290,B,$0.35 ,1,6
IN,290,C,$0.35 ,1,6
IN,290,D,$0.35 ,1,6
IN,290,G,$2.00 ,1,6
IN,330,D,$0.35 ,1,6
IN,330,E,$0.35 ,1,6
IN,330,M,$0.50 ,1,6
IN,330,N,$1.00 ,1,6
IN,330,O,$0.50 ,1,6
IN,350,C,$0.35 ,1,6
IN,390,B,$0.35 ,1,6
IN,460,D,$0.35 ,1,6
IN,460,R,$0.35 ,1,6
IN,460,T,$0.35 ,2,6
IN,460,U,$0.35 ,1,6
IN,460,V,$0.35 ,1,6
IN,460,W,$0.35 ,2,6
IN,460,AD,$1.00 ,1,6
IN,510,G,$0.35 ,1,6
IN,510,H,$0.50 ,1,6
IN,520,B,$0.35 ,1,6
IN,520,D,$1.50 ,1,6
IN,520,E,$0.35 ,1,6
IN,520,F,$1.50 ,1,6
IN,520,G,$0.50 ,1,6
IN,520,J,$0.50 ,1,6
IN,530,A,$0.50 ,1,6
IN,530,E,$0.35 ,1,6
IN,530,G,$0.35 ,1,6
IN,540,C,$0.50 ,1,6
IN,570,A,$0.35 ,1,6
IN,570,B,$0.50 ,1,6
IN,570,C,$1.50 ,1,6
IN,570,D,$1.50 ,1,6
IN,590,A,$0.35 ,1,6
IN,610,F,$0.35 ,1,6
IN,610,H,$0.35 ,1,6
IN,660,A,$0.35 ,1,6
IN,660,B,$0.35 ,1,6
IN,660,C,$0.35 ,1,6
IN,660,E,$0.35 ,1,6
IN,660,F,$0.35 ,1,6
IN,660,G,$0.35 ,1,6
IN,680,D,$0.35 ,1,6
IN,680,E,$0.35 ,1,6
IN,680,F,$0.35 ,1,6
IN,690,A,$0.35 ,1,6
IN,710,A,$0.50 ,1,6
IN,710,B,$0.50 ,1,6
IN,740,A,$0.35 ,1,6
IN,820,C,$1.00 ,1,6
IN,820,D,$1.00 ,1,6
IN,820,E,$1.50 ,1,6
IN,860,B,$0.35 ,1,6
IN,860,D,$0.35 ,1,6
IN,860,F,$0.35 ,1,6
IN,860,G,$0.35 ,1,6
IN,860,I,$0.35 ,1,6
IN,860,J,$0.35 ,1,6
IN,860,K,$0.35 ,1,6
IN,890,D,$0.50 ,1,6
IN,890,E,$0.35 ,1,6
IN,930,E,$2.00 ,1,6
IN,940,A,$0.35 ,1,6
IN,950,E,$1.00 ,1,6
IN,950,F,$1.00 ,1,6
IN,950,G,$0.70 ,1,6
IN,960,C,$0.35 ,1,6
IN,997,A,$0.35 ,1,6
IN,997,B,$0.35 ,1,6
IN,997,C,$0.35 ,1,6
IN,997,D,$0.35 ,1,6
IN,1000,A,$2.00 ,1,6
IN,1000,B,$2.00 ,1,6
IN,1000,D,$2.00 ,1,6
IN,1000,E,$2.00 ,1,6
IN,1000,I,$3.50 ,1,6
IA,30,B,$1.00 ,1,6
IA,30,D,$3.00 ,1,6
IA,30,F,$0.35 ,1,6
IA,30,G,$0.35 ,1,6
IA,50,C,$0.50 ,1,6
IA,77,B,$1.00 ,1,6
IA,77,G,$0.60 ,1,6
IA,77,H,$1.00 ,1,6
IA,100,B,$0.35 ,1,6
IA,110,H,$0.35 ,1,6
IA,110,L,$1.25 ,1,6
IA,110,M,$1.50 ,1,6
IA,150,D,$0.50 ,1,6
IA,150,E,$1.50 ,1,6
IA,150,G,$0.35 ,1,6
IA,180,C,$3.50 ,1,6
IA,230,D,$5.00 ,1,6
IA,230,F,$0.35 ,1,6
IA,230,H,$0.35 ,1,6
IA,230,I,$0.35 ,1,6
IA,230,J,$0.50 ,1,6
IA,230,K,$0.35 ,1,6
IA,230,M,$3.50 ,1,6
IA,240,C,$1.00 ,1,6
IA,270,B,$0.35 ,1,6
IA,270,C,$0.35 ,1,6
IA,270,D,$0.60 ,1,6
IA,300,I,$0.50 ,1,6
IA,300,K,$1.00 ,1,6
IA,300,L,$0.50 ,1,6
IA,300,P,$1.00 ,1,6
IA,310,C,$0.35 ,1,6
IA,310,Ea,$2.50 ,1,6
IA,310,F,$0.35 ,1,6
IA,310,G,$0.35 ,1,6
IA,380,R,$0.35 ,1,6
IA,380,T,$0.50 ,1,6
IA,380,U,$1.00 ,1,6
IA,380,V,$2.50 ,1,6
IA,390,D,$0.35 ,1,7
IA,450,A,$1.25 ,1,7
IA,450,B,$2.00 ,1,7
IA,480,A,$1.00 ,1,7
IA,480,C,$0.35 ,1,7
IA,600,A,$1.00 ,1,7
IA,600,B,$0.35 ,1,7
IA,600,E,$0.35 ,1,7
IA,640,T,$0.35 ,1,7
IA,640,U,$0.35 ,1,7
IA,640,V,$0.35 ,1,7
IA,640,W,$0.35 ,1,7
IA,730,A,$1.00 ,1,7
IA,740,K,$0.35 ,1,7
IA,800,B,$2.50 ,1,7
IA,800,C,$2.50 ,1,7
IA,850,Oa,$0.75 ,1,7
IA,850,Ob,$0.75 ,1,7
IA,850,R,$0.35 ,1,7
IA,850,S,$0.35 ,1,7
IA,850,T,$0.35 ,1,7
IA,850,V,$0.35 ,1,7
IA,850,W,$0.35 ,1,7
IA,850,X,$0.50 ,1,7
IA,930,E,$0.35 ,1,7
IA,930,F,$0.35 ,1,7
IA,930,Ga,$0.35 ,1,7
IA,930,H,$0.35 ,1,7
IA,930,I,$0.35 ,1,7
IA,930,J,$0.35 ,2,7
KS,150,C,$2.50 ,1,7
KS,250,B,$0.50 ,1,7
KS,290,A,$1.00 ,1,7
KS,450,F,$1.00 ,1,7
KS,450,G,$1.00 ,1,7
KS,480,B,$0.75 ,1,7
KS,495,A,$2.50 ,1,7
KS,495,B,$2.50 ,1,7
KS,550,B,$0.75 ,1,7
KS,550,C,$0.35 ,1,7
KS,600,E,$1.00 ,1,7
KS,820,D,$0.35 ,1,7
KS,820,F,$3.00 ,1,7
KS,820,G,$0.50 ,1,7
KS,820,H,$0.75 ,1,7
KS,820,I,$0.50 ,1,7
KS,880,A,$75.00 ,1,7
KS,880,B,$0.75 ,1,7
KS,940,A,$0.35 ,1,7
KS,940,B,$0.35 ,1,7
KS,940,C,$0.35 ,1,7
KS,940,D,$0.50 ,1,7
KS,940,F,$0.35 ,1,7
KS,940,J,$0.35 ,1,7
KS,940,K,$0.35 ,1,7
KS,940,L,$0.50 ,1,7
KS,970,B,$0.35 ,1,7
KS,970,C,$0.35 ,1,7
KS,970,E,$0.35 ,1,7
KS,970,G,$0.35 ,1,7
KS,970,H,$0.35 ,1,7
KS,970,K,$0.35 ,1,7
KS,970,L,$0.35 ,1,7
KS,970,N,$0.60 ,1,7
KS,998,A,$1.50 ,1,7
KS,998,B,$1.50 ,1,7
KY,10,G,$0.35 ,1,7
KY,10,H,$0.35 ,1,7
KY,10,I,$0.35 ,1,7
KY,150,B,$0.35 ,1,7
KY,150,C,$0.35 ,1,7
KY,150,D,$0.35 ,1,7
KY,480,L,$2.00 ,1,7
KY,480,M,$1.00 ,1,7
KY,480,Ra,$1.00 ,1,7
KY,480,S,$1.50 ,1,7
KY,480,U,$0.50 ,1,7
KY,480,X,$1.50 ,1,7
KY,510,AK,$2.00 ,1,7
KY,510,AM,$0.35 ,1,7
KY,510,AN,$0.35 ,1,7
KY,510,BD,$2.00 ,1,7
KY,510,BJ,$3.00 ,1,7
KY,510,BS,$0.35 ,1,7
KY,640,A,$0.35 ,1,7
KY,670,D,$0.35 ,1,7
KY,670,Fb,$0.50 ,1,7
KY,670,H,$1.00 ,1,7
KY,670,N,$1.00 ,1,7
KY,670,O,$0.50 ,1,7
KY,670,Q,$1.00 ,1,7
KY,680,L,$0.35 ,1,7
KY,680,N,$0.60 ,1,7
KY,680,AA,$0.35 ,1,7
LA,30,B,$0.35 ,1,7
LA,30,C,$0.35 ,1,7
LA,30,D,$0.35 ,1,7
LA,80,A,$0.35 ,1,7
LA,80,B,$1.50 ,1,7
LA,520,A,$3.00 ,1,7
LA,670,A,$0.35 ,1,7
LA,670,H,$0.35 ,1,7
LA,670,N,$0.60 ,1,7
LA,1000,C,$2.00 ,1,7
ME,200,A,$1.25 ,2,7
ME,200,B,$1.25 ,1,7
ME,200,D,$2.00 ,1,7
ME,200,G,$2.00 ,1,7
ME,200,H,$2.00 ,1,7
ME,710,A,$3.00 ,1,7
MD,40,A,$0.50 ,1,8
MD,60,I,$5.00 ,8,8
MD,60,T,$1.00 ,1,8
MD,60,AI,$0.35 ,1,8
MD,60,AJ,$0.35 ,1,8
MD,60,AK,$1.00 ,1,8
MD,60,AM,$0.35 ,1,8
MD,60,AT,$0.35 ,1,8
MD,60,AV,$0.75 ,1,8
MD,60,AX,$0.35 ,1,8
MD,60,AY,$0.40 ,1,8
MD,60,AZ,$1.00 ,1,8
MD,60,BA,$1.00 ,1,8
MD,620,A,$1.50 ,1,8
MD,620,E,$2.00 ,1,8
MD,620,F,$2.00 ,1,8
MD,670,A,$1.00 ,1,8
MD,670,B,$1.00 ,1,8
